repositorio,motivo
dbeaver/dbeaver,"Falha ao executar CK: Command '['java', '-jar', 'C:\\tools\\ck\\ck.jar', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\dbeaver_dbeaver', 'false', '100', 'false', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\dbeaver_dbeaver\\saida_ck']' returned non-zero exit status 1."
openjdk/jdk,"Falha ao executar CK: Command '['java', '-jar', 'C:\\tools\\ck\\ck.jar', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\openjdk_jdk', 'false', '100', 'false', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\openjdk_jdk\\saida_ck']' returned non-zero exit status 1."
oracle/graal,"Falha ao executar CK: Command '['java', '-jar', 'C:\\tools\\ck\\ck.jar', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\oracle_graal', 'false', '100', 'false', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\oracle_graal\\saida_ck']' returned non-zero exit status 1."
thingsboard/thingsboard,"Falha ao executar CK: Command '['java', '-jar', 'C:\\tools\\ck\\ck.jar', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\thingsboard_thingsboard', 'false', '100', 'false', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\thingsboard_thingsboard\\saida_ck']' returned non-zero exit status 1."
JetBrains/intellij-community,"Falha ao executar CK: Command '['java', '-jar', 'C:\\tools\\ck\\ck.jar', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\JetBrains_intellij-community', 'false', '100', 'false', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\JetBrains_intellij-community\\saida_ck']' returned non-zero exit status 1."
Grasscutters/Grasscutter,"Falha ao executar CK: Command '['java', '-jar', 'C:\\tools\\ck\\ck.jar', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\Grasscutters_Grasscutter', 'false', '100', 'false', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\Grasscutters_Grasscutter\\saida_ck']' returned non-zero exit status 1."
neo4j/neo4j,"Falha ao executar CK: Command '['java', '-jar', 'C:\\tools\\ck\\ck.jar', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\neo4j_neo4j', 'false', '100', 'false', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\neo4j_neo4j\\saida_ck']' returned non-zero exit status 1."
projectlombok/lombok,"Falha ao executar CK: Command '['java', '-jar', 'C:\\tools\\ck\\ck.jar', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\projectlombok_lombok', 'false', '100', 'false', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\projectlombok_lombok\\saida_ck']' returned non-zero exit status 1."
checkstyle/checkstyle,"Falha ao executar CK: Command '['java', '-jar', 'C:\\tools\\ck\\ck.jar', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\checkstyle_checkstyle', 'false', '100', 'false', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\checkstyle_checkstyle\\saida_ck']' returned non-zero exit status 1."
haifengl/smile,"Falha ao executar CK: Command '['java', '-jar', 'C:\\tools\\ck\\ck.jar', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\haifengl_smile', 'false', '100', 'false', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\haifengl_smile\\saida_ck']' returned non-zero exit status 1."
ReVanced/revanced-patches,"Command '['git', 'clone', '--depth', '1', 'https://github.com/ReVanced/revanced-patches.git', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\ReVanced_revanced-patches']' returned non-zero exit status 128."
dragonwell-project/dragonwell8,"Falha ao executar CK: Command '['java', '-jar', 'C:\\tools\\ck\\ck.jar', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\dragonwell-project_dragonwell8', 'false', '100', 'false', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\dragonwell-project_dragonwell8\\saida_ck']' returned non-zero exit status 1."
JabRef/jabref,"Falha ao executar CK: Command '['java', '-jar', 'C:\\tools\\ck\\ck.jar', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\JabRef_jabref', 'false', '100', 'false', 'C:\\Users\\Ian\\Documents\\PUC\\les-lab-2\\resultados\\repos\\JabRef_jabref\\saida_ck']' returned non-zero exit status 1."
